customer_text,apple_reply_text
Ok I’ve been having this stupid ass glitch on my iPhone too can someone fix it @115858 https://t.co/mQtDQNRpHg,@506186 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH
@115858 why you gotta be like this? Pls send help https://t.co/p8M0LtjYOt,@777740 We're here to help! That bar shows future storage usage of the iPhone. Select Sync first then try to continue with the update.
@379733 @115858 My MacBook stopped working and now I have to do my shit all over again,@379732 This is not what we like to hear. Let's look into this in DM here: https://t.co/GDrqU22YpT
@AppleSupport it’s still doing it smh,@519342 Send us a DM and we will continue from there. https://t.co/GDrqU22YpT
@115858 needs to focus on a magically wondrous software update that doesn’t require charging a phone 3 times a day.  WTF? I’ve hardly used it today and the battery is getting killed.,@761385 Hello there. Let's meet in a DM and check a few things together. We know your battery life is essential and we'll find the answer together. Tap here to continue: https://t.co/GDrqU22YpT
"Phone out of warrantee by 15 days, broken due to a hardware fault and no responsibility taken by @115858 @AppleSupport",@125616 Hello. We'll be glad to check into your options. Please meet us in a DM and share a few details. https://t.co/GDrqU22YpT
It seems ever since I updated to iOS 11.0.1 apps open slow. Anyone else? @AppleSupport,@304056 We want to work with you to get your iPhone working as it should. DM us using the link below. https://t.co/GDrqU22YpT
Bruh I’ve just about had it with @115858. Every time y’all come out either another overpriced piece of garbage my phone stops working. Y’all think y’all slick. My phone just died on 90% I swear to god I’m switching to Samsung fuck the bullshit.,@677821 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT
@115858 @AppleSupport And they can't handle a paypal setup. It's like they don't want my monthly icloud sub https://t.co/zrh1pP5O4l,"@488017 If you are having an issue submitting payment, we'd like to help. Let's check this article first:
https://t.co/QlgvVVFJem"
@AppleSupport Unfortunately this doesn’t help. You offer no way to reset a password nor prompt the owner for the correct password. I have a Time Machine of backups that I cannot access.,"@756467 Correct. To maintain the integrity of the encrypted backup, there is not an option to reset the password used. Take a look at the section titled, ""If you can’t remember the password for your encrypted backup""."
@AppleSupport aye fix my phone. this question marks pissing me off,@448426 We'd love to help. What iOS version do you see in Settings &gt; General &gt; About &gt; Version?
@AppleSupport Everything is up to date. I uninstall the @126 app on a weekly basis because of this problem I have. From the reviews on App Store other people are arbitrarily experiencing problems with this app. :(,@481364 Thank you for the follow-up information. Please send us a DM so that we can look at all available options. https://t.co/GDrqU22YpT
@AppleSupport Sorted 🙌🏾😭🙌🏾😭. Thank you!,@397939 We're glad to hear that and you're very welcome. Please reach out if you need help in the future. We'll be here for you.
@AppleSupport I’ll try that and keep you updated if it works tomorrow.,"@433161 Fantastic! We look forward to hearing back from you. If you run into any other issues, reach out to us in DM. https://t.co/GDrqU22YpT"
"@AppleSupport after ios11 update my iPhone 6 hangs, has become slow, battery drains quickly..  what do I do .. the ph is still in warranty 😡",@170653 We've got some steps we can try to work through this. DM us so we can take a closer look. https://t.co/GDrqU22YpT
@AppleSupport ummm I’m just trying to download a free app idk what y’all are on about.. https://t.co/zhMm7RldjV,@574483 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT
"@AppleSupport got a Apple Watch yesterday, had receipt emailed to me, but it never showed up yet. Is it normal for it to come delayed?",@359404 Congrats on your new Apple Watch! Did you purchase the Watch from an Apple Store or another retailer?
@115858 I was on line buying a computer to get the black Friday gift card and it was 11.50 and clicking on process the thing never went through. Can i still do the purchase today with same discount?,@155292 We'd be happy to look into this with you. Please reach out to our Online Sales team to discuss this further. You can contact them here: https://t.co/l9vC3IRh4z https://t.co/GDrqU22YpT
Aargh! iOS 11 has a stupid bug. I turned off my WiFi before bed and when I woke up it had turned itself on. Second time now.😡 @AppleSupport,@736813 Hello. We can help. It's understandable to want these features tuned off when not in use. Did you use the Control Center to turn off Wi-Fi or did you do it via the Settings app?
"Okay @AppleSupport. My new iPhone X had no iMesage bugs, &amp; I️ breathed a sigh of relief. But some time later? It’s back. I️. See? FIX THIS.",@585518 We're excited for your new iPhone X. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT
"Speakerphone on iOS11 sometimes doesn’t work, have to do hard reset to get it back again. Anyone else have the same issue? @AppleSupport",@418760 We'd like to help out. Could you Direct Message us and let us know what device you're using? https://t.co/GDrqU22YpT
@AppleSupport Thanks 👌🏻✨,@678704 You're most welcome!
@AppleSupport @115858 can you fix this ASAP ? https://t.co/tB0UaAFzcE,@530010 Send us a DM with the link below and let us know if restarting helps. We'll take a look there. https://t.co/GDrqU22YpT
"@AppleSupport My GPS is enabled, inernet is working fine but still it is showing GPS is disabled.
Tried restarting the phone but still issue is there.","@231614 To clarify, if you go to Settings &gt; Privacy &gt; Location Services and scroll down to find the app, what is the option set to?"
"Dear @115858 @AppleSupport this just happened to my iphoneX, couldn’t call on my call screen and contact screen as it went blurry. https://t.co/9zddpCE7Sz",@645392 Thanks for reaching out. We want you to enjoy your iPhone and would like to work with you. Have you tried to force close the app? Here's how: https://t.co/RqqIctrDWV
@AppleSupport The text replacement only works in texts and iMessage. The A’s still appear in Facebook messenger and other places :(,@487409 Thanks for letting us know. Please send us a DM so we can continue chatting. https://t.co/GDrqU22YpT
@115858 @AppleSupport FIX THIS I️ glitch!!!!!!,@504042 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ
"Dear @AppleSupport , you better fix this stupid question mark glitch ASAP #sofruatrated","@723200 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"
Ever since the last 2 updates my phone has been glitching and freezing and crashing get it together @115858,@600862 We'll be happy to work through the issues you're having with your iPhone. Send us a DM with more details. https://t.co/GDrqU22YpT
Is there a setting to stop your music from automatically playing in your car when the USB is connected? @AppleSupport,@311033 We'd love to help. Which device are you connecting to your car? DM us. https://t.co/GDrqU22YpT
"@115858, NO TENGO DISPOSITIVOS BLUETOOTH NI ACCESORIOS! Me estresa cada vez que abro la AppStore y aparece esto. https://t.co/MKAYiABVtb",@513506 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
"@AppleSupport ...my iPhone X keeps restarting every 20 seconds- Help!!! I read all the postings, but seriously .. fix this","@248747 We've got steps to solve that restart issue on your iPhone. Let's start by backing up your iPhone with these steps: https://t.co/4f8hwT5to6, then use these steps to update to iOS 11.2: https://t.co/osZOKKTalm Let us know in DM if those don't help. https://t.co/GDrqU22YpT"
@115858 @AppleSupport too many errors within the appstore with iOS 11.1 https://t.co/XtuEmNgm1f,@222743 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
"Thanks, @115858. 

$900B company.
$1,100 iPhone X. 

Every time Tha\T’ I type “that”, it autocorrects to “Tha\T’”. 

FIX IT!!!!!",@275271 Hey there. Congratulations on your new iPhone X. Let's figure out what's happening with autocorrect. Please DM and tell us what version of iOS you see under Settings &gt; General &gt; About &gt; Version. https://t.co/GDrqU22YpT
I’ve never seen my #ipad do this before @115858 @175600 @90100 https://t.co/4ldPxoAj47,"@666681 Thanks for reaching out. We want to make sure your iPad is working as expected. Are you able to tap ""Open"" to open the app? Also, which iOS version are you using on your iPad? You can find this by going to Settings &gt; General &gt; About."
@115858 are you kidding me speakers don’t work and phone calls don’t work disappointed,@489013 Have you updated the iPhone to iOS 11.1 yet? https://t.co/80YRnjDFDk Send us a DM and let us know. https://t.co/GDrqU22YpT
"@AppleSupport @AppleSupport I’m not attacking or tryn to cause drama, I just really need the Info that’s on my note app. I’m an international student so Losing it is going to affect me because it has important University/Bank info.","@777930 We understand fully. So that we can look into your support options, can you tell us which country you are located in please? DM the response here: https://t.co/GDrqU22YpT"
@AppleSupport Spotlight and Siri search appears to no longer be working on my 6s. Plz help.,"@775671 We're happy to lend a hand. What happens when you try to use Spotlight and Siri? Do you see any errors? Also, which iOS version is currently installed on your 6s?"
Updated to High Sierra and now my laptop won’t turn back on… any answers? @AppleSupport,"@806033 We're here for you! Can you clarify what's happening when you try to start up? If the device is not powering up at all, this article may help: https://t.co/FYojVXHuwn"
@115858 has the worst customer service I️ have ever experienced. I️ buy #iPhoneX and they send me a defective phone and will not replace I️t,@522083 We would like to help out. Tell us more about what's going on with your iPhone in DM. https://t.co/GDrqU22YpT
@AppleSupport Safarai 11.0.1 and Mail 11.1 stops working after your update!!! WTF is going on? Should I channel Steve Jobs to reign on you?,@584637 Thanks for reaching out. DM which device you are using and the specific issue you are seeing to get started. https://t.co/GDrqU22YpT
"ios 11.03 sonrası uygulamaların sürekli kilitlenmesi ve kapanması ? Var mıdır başka yaşayan, ya da çözüm bilen? #ios1103 @AppleSupport",@432943 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
@AppleSupport it didnt before but after i updated itunes the apple logo shows up but now it gives me a Error 6 while restoring IOS  and tried all the fixes   for that error,"@250297 We appreciate those additional details. Error 6 usually points to an issue with security software installed on your computer. To clarify the steps you've tried, have you followed each of these steps: https://t.co/cll6PiYi4U"
"@AppleSupport iOS 11.. which I regret because my phone feels absolutely garbage now, freezes, and super laggy",@423987 Which specific iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.
Can I use the normal pendrive with #ipadpro ? @AppleSupport,"@258974 We're happy to assist and want to make sure we understand the question. Are you asking if you can use a standard, passive stylus with the iPad Pro? The answer to that is yes, but it will not have the additional functions that the Apple Pencil brings to the table."
This I️ situation is making me want to pull my hair out. My phone just started this. I️ hate it and I️ hate you @115858,@172070 We're here to help. Take a look at this article with some steps to help with this issue: https://t.co/xXaXeeSRt9
my phone has gone from 60% to 30% to 50% in the last 10 minutes what the fuck @115858,"@557108 We know how vital the battery is. Please check out this article: https://t.co/TpjqFp3jxD  

DM us the result. https://t.co/GDrqU22YpT"
@AppleSupport It’s on insta and Snapchat,"@367707 We want to be sure we're isolating the issue. Are you able to take screenshots in Apple apps, Messages or Safari? Please DM us. https://t.co/GDrqU22YpT"
my phone has been super fucked since the ios update. my music app is closed and there are no headphones plugged in obviously. 🙄🙄🙄 @115858 https://t.co/6KntmwDK66,"@592354 We want your iPhone working smoothly. Reply by DM, and let us know what shows as the iOS version in Settings&gt;General&gt;About. https://t.co/GDrqU22YpT"
@AppleSupport What is MacKeeper? All of a sudden today I got a message to fix my laptop. Then someone started a convo with me? I'm so lost.,@263460 We'd be happy to look into what's going on. DM us which device you're using to get started. https://t.co/GDrqU22YpT
@AppleSupport please help https://t.co/4ZYOeK5ieO,@598032  We'd love to take a closer look at this error with you. Can you send us a DM and let us know the exact model of your Macbook? https://t.co/GDrqU2kzhr
@AppleSupport App Store doesn’t work since iOS 11 update. Can’t download app unless I have WiFi. Argh. #Frustrated,@759270 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.
@AppleSupport #ios11 #ios11fail work shit out before releasing! I miss mr. Jobs! https://t.co/IFVIoifqLs,@439736 Use these steps to restart your iPhone: https://t.co/OWRDHWSt4h Let us know if there's any change. We're here for you!
@115858 your updates for #iPhone bite. Can't even connect to WiFi at @32366 #ditchiPhoneGoAndroid #iPhone7Horrible #sad #lotsofissues,@291952 Being able to connect to Wi-Fi is very important and we want to help resolve this issue. May we get a description of the issue?
