apple_tweet_id,customer_tweet_id,customer_text,apple_reply_text,created_at
2493943,2493944,"@AppleSupport I thought the new iOS ecosystem was supposed to sync all my text messages, so if I delete / read a message on one device, it syncs across all? Do I have to enable that somehow?","@479827 While that feature has been announced, it isn't currently available yet. We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd",Wed Nov 15 17:46:30 +0000 2017
2682287,2682289,"bought a replacement of iPhone 6 2days ago, suddenly got switched off, had to restore &amp; the result is this. @115858 very unsatisfied customer https://t.co/0BG5haMYKT",@754543 Let's work to get this working again. Reach out to us in DM and tell us more about what's going on. https://t.co/GDrqU22YpT,Tue Oct 31 16:16:03 +0000 2017
2434624,2434625,"@115858 „danke für das tolle neue Update“ , mein Handy läuft seitdem viel besser, der Akku hält auch nur noch bedingt ein paar Stunden...",@698608 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Sun Oct 29 10:48:42 +0000 2017
739105,739106,@AppleSupport Muchas gracias,@272720 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Wed Oct 11 05:38:54 +0000 2017
1346346,1346348,@AppleSupport do you know why Apple Pay payments made via watch don’t show in the recent transactions?,@433958 You'll find more information about transaction history here: https://t.co/vJzVkWOsWQ,Mon Oct 16 11:36:16 +0000 2017
2069891,2069889,"@AppleSupport Did as instructed... didn’t stop the alerts!
Not my problem if @697 can’t get there act together! https://t.co/Tt0D98IduX","@241960 If you're still receiving those alerts, let's move to DM so we can check a few more settings. https://t.co/GDrqU22YpT",Thu Oct 19 05:00:23 +0000 2017
756431,756432,"@AppleSupport please stop making my messages disappear, I’m trying to win at cup pong &amp; 8ball. Thx(:",@300790 We'd like to look into what's happening a bit closer. Could you join us in DM with more details? https://t.co/GDrqU22YpT,Wed Oct 11 18:15:24 +0000 2017
1488923,1488924,Why do my I’s constantly change to this when typed alone #ios11.1 @AppleSupport https://t.co/PnFCfbb6Bc,@465829 We're glad to assist. Please join us in DM. https://t.co/GDrqU22YpT,Fri Nov 03 03:58:24 +0000 2017
2299385,2299383,@AppleSupport Im on iOS 11.1.1,"@667410 Thank you for that information. Please send us a DM, and we'll continue looking into this together. https://t.co/GDrqU22YpT",Sun Nov 12 16:15:41 +0000 2017
2071989,170404,@115858 Iphone 7 update edince neden çöküyor? Bunu açıklayın önce? 9 ayda bir iphone mu almak zorundayım? Şikayetim var!!!,@612810 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Sat Nov 25 12:30:16 +0000 2017
2532902,2532903,OK ever since i got the new update my phone glitches like a mf and it doesn’t vibrate when i get notifs get it 2gether @115858,@720808 We'd be happy to help. Can you tell us if this issue occurs in a specific app? Which device do you own?,Mon Oct 30 03:20:19 +0000 2017
2121095,2121096,@AppleSupport explain please,@624948 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,Wed Nov 08 07:54:43 +0000 2017
1813934,1813935,@AppleSupport my phone keeps changing is to I.S. How do I stop this??,@544934 We're happy to help with this. Let us know which iPhone and version of iOS you're using via DM. We'll go from there. https://t.co/GDrqU22YpT,Sun Oct 15 11:01:32 +0000 2017
1674782,1674783,Hey @AppleSupport can you please explain why the hecking heck all my “I’s” are autocorrecting to this nonsense https://t.co/LF2WKumAT1,@509573 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/tqme2m68En,Mon Nov 06 04:44:43 +0000 2017
2925651,2925653,"@115858 What MacBook should I get for my 11 Year old sister? She really loves Apple products. (She already owns about 3 chargers, a iPad Air 2, a IPhone 7 and airpods)",@809495 Our Sales team can help. Reach out here:  https://t.co/8yjRd1Xo0i,Wed Nov 29 03:11:46 +0000 2017
287483,287484,"Exagerado la batería q consume el iPhone 7 con la nueva a actualización iOS 11, para nada recomendable 😒@AppleSupport @115858",@184512 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Fri Oct 06 11:37:00 +0000 2017
26719,26720,"@115858 the glitch problem happens with the letters O, U, and K too 🤔 https://t.co/0LsQuPwc5c",@121852 We'd like to help out. DM us and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 08 21:07:27 +0000 2017
1102810,1102812,@115858 my scroll down thingy isn’t working. Fix it but without adding ten other bugs.,@380235 Which device are you using? Let us know in a DM. https://t.co/GDrqU22YpT,Tue Oct 24 03:00:40 +0000 2017
2803464,2803465,Hey @115858 you suck for not letting me restore a new phone w/ a saved version that has a diff ios. Please work on that. If a device has no space to download the new ios how am I supposed to transfer what's on it to a new device w/ a diff ios?,"@781995 We understand where you are coming from. Let's free up some space on the original device. This article should help do just that:
https://t.co/GfczciMZXW
Let us know in DM if you need additional assistance! https://t.co/GDrqU22YpT",Wed Nov 22 01:33:41 +0000 2017
2082469,2082470,Why does my battery on my iPhone 6 drain rapidly now since I did the latest update @AppleSupport ! Not happy that iphone is not reliable,@615875  We want you to be happy with your iPhone. Let's take a closer look into this together. DM us the exact iOS version you have. https://t.co/GDrqU22YpT,Tue Oct 10 18:41:17 +0000 2017
736448,736449,@AppleSupport sent you a DM already. Please respond.,@179727 We received your DM and will continue there.,Fri Oct 06 18:02:15 +0000 2017
1897693,1897694,"Ugh, the @118936 is DOWN @AppleSupport",@137149 We want you to be able to access the App Store. DM us which device and OS you're having this issue on and we'll help there. https://t.co/GDrqU22YpT,Tue Oct 24 17:38:54 +0000 2017
1166633,1166634,The music player on ios11 looks fucking stupid when your phone is locked @115858 . Show me cover art,"@394419 We can help out. To start, which version of iOS 11 is your device on? Also, are you an Apple Music subscriber?",Sun Oct 15 05:20:40 +0000 2017
2675088,2675086,@AppleSupport iPhone 5se with 11.0.3 and it started yesterday,@270085 Let's get Touch ID working again. Please start by trying the steps here: https://t.co/AsMLCsnb6S Let us know how it goes.,Tue Oct 31 15:04:26 +0000 2017
392686,392687,This #ios11 battery drain is UNACCEPTABLE @AppleSupport Please don’t send a list of things to improve battery - I’ve done it. Any updates?,@208995 Hey there. We've received your DM. Be on the lookout for our response shortly.,Mon Oct 09 14:56:10 +0000 2017
1582172,1582174,Apple needs to fix their damn “I️” problem. It’s pissing me off. @115858,@487012 We can help. Check out this article for assistance: https://t.co/xU1AGHStV6,Sat Nov 04 16:06:54 +0000 2017
1007576,1007574,"@AppleSupport I am using iphone 6s plus and ios 11.0.3.
Yes, this is the only app,facing issues.","@358428 You've come to the right place! Is there an update in the App Store for Facebook? If so, let's install it and test, please.",Sun Oct 15 01:02:11 +0000 2017
2557388,2557389,. @115858 how do you uninstall the latest iOS update?,@726052 We'd like to be sure your iOS is working normally on your device. Send us a DM with more information on why you are looking to revert iOS back. https://t.co/GDrqU22YpT,Thu Nov 16 14:23:43 +0000 2017
2517037,2517036,@AppleSupport Guys. It has literally ZERO to do w app usage. Only change is the software update. Can I go back to previous version? Your new update is battery drain to max,@716996 We just want to make sure we check everything to help. DM us using the following link and we'll work together with you on the issues you're having. https://t.co/GDrqU22YpT,Thu Nov 16 01:34:59 +0000 2017
311877,311879,@AppleSupport App Store and iTunes will not load after updating to iOS 11?!?! Please help,"@15431 We're here to help.  To better assist, what error or message do you receive when attempting the access those stores?",Fri Sep 22 14:47:07 +0000 2017
1631176,1631177,@AppleSupport Can you check DM’s I’m reporting a problem with the new update,@499218 We've received your new DM and we've responded there. Keep an eye out for our response there.,Sun Nov 05 16:40:16 +0000 2017
2333308,2333311,"@AppleSupport Iphone 7 after upgrade to 11.0.3 wifi is getting auto started after someone on it own ..
Can anyone respond soon",@548668 We can check into your Wi-Fi issue together. Are you turning off Wi-Fi from within Settings?,Fri Oct 20 01:25:06 +0000 2017
2517139,2517140,"@115858 never been so frustrated with your updated iSO 11 until now! Can’t play music while on other apps. (Snapchat) my “I” problem, Siri doesn’t work, my voice to text doesn’t either. Phone gets stuck, buffering, on apps, then shuts off. Galaxy where you at?","@717031 We want you to be able to enjoy using your iPhone, so we’ll partner with you to address all of these issues. To be sure we’re on the same page, is your iPhone currently running iOS version 11.1.1?",Wed Nov 15 22:39:42 +0000 2017
2307574,2307575,@AppleSupport Please I need to know if anyone else have battery draining issues after upgraded to ios 11. I bought my iphone 8 and i dont know if the problem is the phone or ios...,@669398 We'd like to look into this with you. DM us details of the battery issues you're having with your iPhone 8 and we'll work with you on resolving the issues you're having. https://t.co/GDrqU22YpT,Mon Nov 13 00:27:12 +0000 2017
2125069,2125070,Nobody update your iPhone if you haven’t yet bc it’s trash. I️ have to restart my phone every time I️ try to open apps. Thanks @115858 ✊🏼🚮,"@625823 Let's look into what's going on together. To start, DM us which iPhone and iOS version you're having issues with. https://t.co/GDrqU22YpT",Wed Nov 08 16:50:33 +0000 2017
2020179,2020180,@115858 @AppleSupport Also it keeps doing that weird shit whenever I️ type I️,"@597409 We're here to help. Please DM your device model, country, and iOS version. We'll pick up there with your support options. https://t.co/GDrqU22YpT",Sat Nov 04 22:42:34 +0000 2017
905813,905814,@AppleSupport fix my damn speakers 🙄,@335043 We'd like to look into this with you. Please DM us more about what's happening with your speakers. https://t.co/GDrqU22YpT,Tue Oct 10 08:09:23 +0000 2017
2401826,2401827,.@115858 what #case should i buy for at use #wireless #Chargers for a #iPhone8 ? #apple,@691025 Great question! Reach out to our Apple Online Store team for further assistance: https://t.co/8yjRd1Xo0i,Fri Oct 20 05:48:08 +0000 2017
1247254,1247256,@AppleSupport So when are you fixing iOS 11 so my phone actually functions again? I don’t think 3+ restarts a day is ok,@412635 This is not the experience we want you to have after updating. Reach out to us in DM. https://t.co/GDrqU22YpT,Mon Oct 16 03:12:52 +0000 2017
2742991,2742989,"@AppleSupport iPhone 7. 
Now battery Life is 5 hours",@768321 Thank you for clarifying that for us.  Do you have any pending app updates?  Please DM us and let us know. https://t.co/GDrqU22YpT,Mon Nov 20 18:58:49 +0000 2017
1100840,1100841,@260566 brandneues iPhone X aus der Schachtel genommen. Hinten Kratzer drauf. Seid ihr da zuständig oder @AppleSupport ?,@379728 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Sat Nov 25 18:05:23 +0000 2017
2634961,2634963,Lost over 2300 old pictures &amp; videos when I updated to #macOSHighSierra! Wth @AppleSupport?? How do I get them back. They've vanished from the photo app on my 💻 😫😫😫😫🤦🏽‍♀️🤦🏽‍♀️,"@743878 We're here for you. As a starting point, let us know what version of macOS you upgraded from. That will help us plan the most relevant next steps.",Fri Nov 17 18:22:11 +0000 2017
1914601,1914599,"@AppleSupport Oh, come on. You know it’s iOS11 that’s draining the battery. I have 3 iPhones, one not upgraded and it’s the only one that keeps its charge",@570312 Got it. Send us a DM if you'd like us to investigate this further with you. We're happy to take a closer look. https://t.co/GDrqU22YpT,Wed Oct 25 22:16:29 +0000 2017
1900627,1900628,@AppleSupport new IOS 11 causing mega issues including severe battery use; touch not very responsive and a number of Aps no longer working,@380450 We want you to be happy with the new iOS 11. We're here to help. Let us know in DM what type of device you are using. https://t.co/GDrqU22YpT,Mon Oct 23 23:42:45 +0000 2017
1795151,1795152,Anyone else having problems accessing 'free' wifi @115858 iPhone5se on @118101 since 'security recommendations' message started popping up!!,"@539435 Thank you for updating us. Please DM your device model, iOS, and country. We'll check your support options and continue there. https://t.co/GDrqU22YpT",Thu Oct 12 06:38:24 +0000 2017
2748410,2748411,@115858 what is going to take to solve my problem with my iPhone 7? Your staff at the Eaton Centre sure are not interested in solving it. Considering how many of your products I own I am really disappointed.,"@769551 We'd like to look into this with you. Please connect with us in DM, and let us know what you need help with regarding your iPhone 7. https://t.co/GDrqU22YpT",Mon Nov 20 23:06:47 +0000 2017
603253,603255,@AppleSupport Talking about the bedtime reminder in the clock app. No option to turn off reminder. https://t.co/MZgdECYnpd,"@263306  To turn Bedtime reminders off, simply tap the Bedtime switch.",Sun Dec 03 22:11:01 +0000 2017
105436,105434,@AppleSupport It’s usually a site trying to process a payment. I’m on High Sierra.,@139291 Have you tried to clear your Safari history yet? Our website here explains how: https://t.co/SQ4Lne7fmo,Fri Dec 01 00:11:35 +0000 2017
2278857,2278858,For instance @115858 when are you gunna fix my fuckin I button I️ refuse to change it in my shortcuts it shouldn’t come down to this,"@662582 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",Sat Nov 11 06:12:55 +0000 2017
36644,36645,"@AppleSupport hi, how long is the 20 months 0% interest for iPhone x offer on for?",@123983 We'll point you in the right direction. Get with our Apple Online Store Support for purchase questions: https://t.co/8yjRd1Xo0i,Wed Nov 01 13:57:19 +0000 2017
1781734,1781735,"@81 @AppleSupport @34361 And @34361, next time maybe you shouldn’t open packages that don’t belong to any of your employees.","@341952 We're glad that you got your package, but we'd like to check on what exactly happened. Please DM us more details here: https://t.co/GDrqU22YpT",Thu Oct 12 00:22:46 +0000 2017
762553,762555,"Since updating my phone I don’t receive WhatsApp notifications until I open the app. @AppleSupport, sort it out. Annoying af. 😒",@302194 We'd be happy to assist you with this. Can you provide us which iOS version you're using?,Wed Oct 11 20:06:37 +0000 2017
704258,704260,@AppleSupport MacBook Air from india under warranty - battery drains. All checks done. India support team doesn’t understand . #appleindia support team breach of security verification . Need help. #timcook #applesupportindia,@288287 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,Thu Nov 23 14:56:46 +0000 2017
2305132,2305134,@AppleSupport WHY DOES MY IPHONE 7 KEEP FREEZING 🤦🏻‍♂️,@668808 We can take a look into this for you. When did you first encounter this issue?,Sun Nov 12 19:30:00 +0000 2017
2287889,2287891,Dear @115858 your new update makes me want to back my car over my iPhone! This crap with the text changing to symbols is stupid annoying! #iphoneupdatesucks,"@664712 That's not what we want to have happening with updating iOS on your iPhone, but we may have a fix for what you are seeing. Are you getting an A? symbol with a box when you type an I?",Sun Nov 12 02:01:19 +0000 2017
2972469,2972470,"@115858 how do I get rid of this stupid question mark box every time I type the letter I , it’s pretty annoying !",@819835 We want to help. Can you tell us which iOS version you have? Settings &gt; General &gt; About will tell you.,Thu Nov 30 01:13:35 +0000 2017
1824296,1824297,@AppleSupport Why does it take 72 hours to change my cell phone number? How about supporting an international relocation? Unacceptable,@547627 We'd be happy to look into this with you. DM us details on how you're changing your cell number and we'll go from there. https://t.co/GDrqU22YpT,Mon Oct 16 23:27:33 +0000 2017
2067791,2067792,@AppleSupport its now at 8 percent im just on safari on archive of our own 😔🤙🏻,@611487 We’d like to help with the battery. Can you start by confirming what uses the most battery via DM? https://t.co/2voRgjSsVf https://t.co/GDrqU22YpT,Sun Oct 08 05:24:31 +0000 2017
1726207,1726208,@522068 @AppleSupport @115858 My phone is so jacked up,@522067 We want your iPhone to work great for you. DM us what's going on with it; we're happy to help out: https://t.co/GDrqU22YpT,Tue Nov 07 03:19:27 +0000 2017
178704,178705,"@AppleSupport Please tell me why 1-800-MY-IPHONE isn't working. I keep getting a ""can't connect/disconnected"" message. I really need help.","@158112 You can contact us at 1-800-MY–APPLE (800–692–7753), 7 days a week from 7:00 a.m. to 11:00 p.m. Central time.",Wed Oct 04 03:23:45 +0000 2017
1646215,1646216,I️ do not understand why this keeps happening on Snapchat @AppleSupport why does the letter I️ keep auto correcting to this? https://t.co/T6uPXsAojc,@503008 Thanks for reaching out to us. We'd like to have you try the following steps and then restart afterward: https://t.co/uQeXsrrlXJ,Mon Nov 06 00:30:03 +0000 2017
1365537,1365538,Wotizdis @115858? https://t.co/INEnYWtfBP,@437924 We're happy to help. Have you made a recent purchase? DM us from here if possible to assist further. https://t.co/GDrqU22YpT,Fri Oct 27 20:09:58 +0000 2017
903698,903700,All my text messages mysteriously disappeared but they're still taking up space! I am sick of y'all @AppleSupport,"@273560 We're here for you. To start, which device are you experiencing this on, and which software version is it running?",Tue Oct 10 04:47:53 +0000 2017
2484220,2484221,@applesupport iPhone is abnormally slow after the upgrade,@709693 Thanks for reaching out! That’s not the experience we want you to have with your iPhone. Let us know which version of iOS you’re running in DM. We’ll take a closer look at this with you there. https://t.co/GDrqU22YpT,Wed Nov 15 12:11:24 +0000 2017
1201972,1201973,@115858 Since the last update my iPhone 6s has been showing symptoms of psychosis. it now believes its an android phone. What’s going on?,@402408 We're here for you. Send us a DM with the issues you're experiencing and we'll continue there. https://t.co/GDrqU22YpT,Wed Oct 25 08:04:27 +0000 2017
2526313,2526314,"سؤال تكنولوجي:
الايفون عندي شاير على صورة ( ابل) ومو راضي يفتح. في احد واجهته نفس المشكله؟ وشنو الحل بدون ما ينمسح اللي فيه؟ 
📱
My iphone is stuck on (apple) logo. Any solution without deleting info? 
@AppleSupport @98013","@719336 We'd be happy to help with your iPhone. Please send us a DM, and let us know which model you have. https://t.co/GDrqU22YpT",Thu Nov 16 03:21:53 +0000 2017
1457392,1457393,@115858 Why can’t I type the letter “i” with iOS 11.1? I have to touch the predictive text option to avoid this from happening..?,@458260 We can offer some guidance. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT,Thu Nov 02 18:08:51 +0000 2017
2003301,999898,@AppleSupport 1hr and still unable to connect to server for activation. ☹️ #verizonwireless,@592375 We appreciate your patience and understanding. Please following these steps and DM the results: https://t.co/Mhw9pFAK08 https://t.co/GDrqU22YpT,Fri Nov 03 19:42:49 +0000 2017
2550303,2550306,People actually told me #ios11 on ipad is stable. Fts. @115858 can you fix your broken mobile operating system? https://t.co/WUEOUhyZAn,"@279055 We want you to love iOS 11 as much as we do, and we’ll assist. Do you have orientation lock enabled in Control Center?",Mon Oct 30 14:20:52 +0000 2017
374210,374209,@AppleSupport And this is all since I updated my software. Having to restart daily which fixes the problem for a few mins &amp; then problems occur again,@204721 Please send us a DM letting us know the exact iOS version that you are using. You can find this in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,Mon Oct 09 01:00:19 +0000 2017
2111411,2111409,"@AppleSupport No MS OFFICE.
11.1",@258351 Have you tried restarting your device and attempting again?,Wed Nov 08 16:37:25 +0000 2017
584685,584688,"me and my bro's iphone 6 fucked out the same way (resets itself on loop every 2mins) at exactly the same time (0000hrs 2.1.2018) after the update. It can't be a coincidence right @115858 ?? Fuck this, I want my Nokia 2280 back.","@257976 We're happy to help! Are you experiencing this after updating to iOS 11.2? If not, this article should help resolve the issues you're both experiencing: https://t.co/osZOKKTalm Let us know, we're here for you.",Sun Dec 03 09:02:04 +0000 2017
1649594,1649595,"@AppleSupport y’all need to send me a new phone , that update have my phone tripping !",@503883 We'd like to help get your phone working. Can you provide details on what's happening? DM us. https://t.co/GDrqU22YpT,Sun Nov 05 20:09:52 +0000 2017
922784,922785,"@AppleSupport iOS 11.0.2 basically bricked my 8. Power button doesn't work, screen doesn't work, only podcast I'm listening to. msgs greyed https://t.co/nZNY0kppNn",@339051 We can certainly take a look. Meet us in DM with additional details to get started: https://t.co/GDrqU22YpT,Tue Oct 10 19:41:03 +0000 2017
2441886,2441883,@AppleSupport I was activating over WiFi,"@700274 We're sure you're eager to get your iPhone X activated and we'll continue to do all we can to help. While you're waiting for phone support, you can try the steps listed here: https://t.co/ywHIZGN4Ac",Wed Nov 15 00:00:38 +0000 2017
1544500,1544501,@AppleSupport I’ve updated my iPhone 8 to the latest iOS and I’m still seeing the black question mark boxes in place of emojis. 😫,@478406 Thanks for reaching out. Send us a DM and we'll take a look. https://t.co/GDrqU22YpT,Sat Nov 04 01:12:31 +0000 2017
2364544,2364543,@AppleSupport The rear camera only and IOS 11.0.1,"@682671 Does the screen on the iPhone appear blurry or black when you try taking a photo using the rear camera? Does the issue persist using all photo options? Meaning testing video, slo-mo, or portrait mode?",Tue Nov 14 18:57:29 +0000 2017
2844716,2844717,"@AppleSupport I am leaning toward moving to a different phone. Since 11 my phone causes me more problems than good, its way too slow, programs die, battery life is totally unacceptable and forget iPhone X, why would I want more of this?????",@791340 Let's look into these issues for you. We know how important it is for your iPhone to function correctly. Send us a DM with your current device type and exact iOS 11 version to get started. https://t.co/GDrqU22YpT,Mon Nov 13 01:28:31 +0000 2017
928031,928032,My MacBook Air is saying it needs updating but a restart is required does this mean I will lose all my photos etc? @AppleSupport @115858,"@340193 Restarting/updating will not cause you to lose photos. However, a backup is always recommended: https://t.co/Mw8OK9APy7",Fri Oct 13 21:55:33 +0000 2017
2580621,2580623,@AppleSupport I got a new phone and forgot to unpair my watch from my old phone. Now my watch won’t reset so I can pair my new phone. It just keeps looping back to the watch face. I’m on WatchOS 4. Help!,@731433 Congratulations on your new iPhone! We have some steps in this article you can take to resolve this: https://t.co/6MzZgKsRTJ,Thu Nov 16 20:53:47 +0000 2017
1637138,1637139,"@AppleSupport KP w/SDcard import to Photos on High Sierra? Appears to import, but no photos appear. Repros w/2 macs with HS, works in Sierra",@500712 We're happy to help. DM us here so we can better assist you: https://t.co/GDrqU22YpT,Sun Nov 05 19:12:40 +0000 2017
916944,916945,@AppleSupport I need help as soon as possible please,@337693 We want to help. Let's discuss it in DM. https://t.co/GDrqU22YpT,Fri Oct 13 20:25:47 +0000 2017
2143977,2143978,"Ok, wtf is up with the letter A and that exclamation point in a box when I️ try to type a capital “I “ @115858",@630353 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Wed Nov 08 21:53:58 +0000 2017
352167,352168,"@AppleSupport Try to open ESPN app on my apple tvs 4th generation and 4k It won't open. Click on app, Wheel spins, goes back to app screen.",@199752 Our Apple TV team can help you with this issue! Please reach out to them using this link: https://t.co/IBIY3vMgPj,Sun Oct 08 03:25:26 +0000 2017
2734052,2734053,@AppleSupport They disappeared and this is what my texts look like now https://t.co/Phw4ITYVfg,@766304 Thank you for the screenshot. Did this happen after an update was installed on your device? Which iOS version is your device running now? That may help us isolate this a bit more.,Mon Nov 20 16:48:40 +0000 2017
1471810,1471811,@115858 aye fam! Y’all gone fix this annoying question mark shit or no?,@461642 We'd like to look further at this. Please DM us. https://t.co/GDrqU22YpT,Fri Nov 03 00:07:37 +0000 2017
2480660,2480661,"Thank you, @115858. Since the update my phone is constantly freezing. Just what I've been waiting for! 🙄 #thanksfornothing #fixthisshit",@708828 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,Sun Oct 29 21:53:36 +0000 2017
1354530,1354531,"Hey @ATT and @AppleSupport, I have an iPhone reserved with reservation number but the system won't let me complete the order. PLEASE HELP",@435875 Let's get you pointed in the right direction. Reach out to our Apple Online Store support here: https://t.co/8yjRd1Xo0i,Fri Oct 27 16:33:49 +0000 2017
1138312,1138315,ala começou a arrombação de novo @AppleSupport @115858 😡😡😡 https://t.co/dkmvDZwcCA,"@388128 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",Sat Oct 14 19:15:50 +0000 2017
1772204,1772205,@115858 what are y’all doing to fix our I️? I️ just wanna know,@532659 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Wed Nov 08 01:18:36 +0000 2017
1413228,1413230,@AppleSupport aye fix my phone. this question marks pissing me off,@448426 We'd love to help. What iOS version do you see in Settings &gt; General &gt; About &gt; Version?,Thu Nov 02 00:53:51 +0000 2017
599138,599139,@123857 Has Disk Utility gotten less crappy in High Sierra?  Seems in Sierra every action I have to do twice because the first time it fails!,@262105 We'd like to help if we can. Send us a DM with some details and we'll look into it further. https://t.co/GDrqU22YpT,Sun Dec 03 19:57:43 +0000 2017
2285200,2285202,"@AppleSupport Updated to iOS 11.1.1 on an iPhone 8. Since then, phone is completely unresponsive. Can't open any apps, can't force restart it, can't turn it off. Only thing I can do is unlock it.",@664055 We'd like to help get your iPhone up and running again. Try the steps listed here: https://t.co/8MvHMFZ83h Let us know if the issue persists.,Sat Nov 11 08:25:09 +0000 2017
1436703,1436704,Hey @AppleSupport my iPhone 7plus (iOS 11.0.3) keeps freezing at random moments. Is there any solution to that problem?,@453526 Hi! Let's get your device updated to the latest iOS version (11.1) and see if that helps this issue. https://t.co/80YRnjDFDk,Thu Nov 02 08:54:34 +0000 2017
325917,325915,@AppleSupport And some apps I try to screen record the audio doesn’t be in the video once it saves to camera roll either,@167930 Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,Sat Oct 07 16:14:25 +0000 2017
2207517,2207518,"Seriously @AppleSupport your new iOS updates suck. Since I’ve updated today, apps keep freezing on me.",@645403 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Fri Nov 10 01:30:48 +0000 2017
720579,720580,@115858 eye’m about to lose my mind with this stupid bug. The letter after H doesn’t work anymore. #FIXThis. 😡😡😡,@292460  Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,Mon Nov 06 01:04:09 +0000 2017
1420228,1420230,@AppleSupport this new update is causing my phone to freak out. Pls help,@450155 We're here to help. What exactly is going on with your phone?,Wed Nov 01 23:37:16 +0000 2017
1552166,1552167,My phone keeps deleting my notes @AppleSupport How can I restore them?,@480272 Let's help take a closer look. Please DM us the version of iOS you're using and we can go from there. https://t.co/GDrqU22YpT,Sat Nov 04 00:11:01 +0000 2017
2341671,2341673,@AppleSupport Here is what i got from last update!! https://t.co/bmzFMtNa9P,@641430 We're here to help. What is the current state of the iPhone? Are you only seeing the Apple logo on startup?,Mon Nov 13 11:14:26 +0000 2017
