conversation_root_id,customer_text,apple_reply_text
96937,"@AppleSupport 
Hello, 
my iphone 5C less than two years old explosed in the classoom, what triggered the fire alarm.
what do you propose? https://t.co/2qqPtOZLWe","@137158 This definitely isn't expected, and we want to help. Send us a DM with your country/location, and we'll continue there: https://t.co/GDrqU22YpT"
96991,"Congratulations, @115858!
Just when I thought iOS couldn’t get any worst, bang!! Can’t setup iMessage with mobile data on. Good enough for Twitter but not for mr. iMessage.
A new low!",@137168 We'd love to help look into this and get you back in action. Can you send us a DM with some additional details? https://t.co/GDrqU22YpT
97035,"@AppleSupport Messages on my iMac and my wife’s MB have randomly stopped working. No changes, just can’t send or receive anymore.",@137182 We'd love to assist you with getting this sorted. Are you receiving any error messages while trying to send messages?
97067,Ok @115858: what’s the deal with iCal spontaneously shutting down while I’m using it? It’s happening more frequently lately. Seems like an easy fix....?,@137191 Let's look into this together. Is the Calendar the only app that's shutting down unexpectedly? Are you doing anything specific that triggers it? We look forward to your response.
98824,My phone wouldn't turn on for an hour @115858 we're going to have some problems,"@137628 We never like to hear that your iPhone isn’t powering on. We’d be happy to help troubleshoot this issue. Just to clarify, are you still having power issues with the iPhone or is it working correctly now?"
98842,Ever since I updated my phone it hasn’t been able to hold a charge very well 😡 @115858 @AppleSupport,@137634 Let's look in to this battery issue together. Please DM us about this and we'll continue there. https://t.co/GDrqU22YpT
98855,@AppleSupport  why does this only happen with the Mail app? It’s annoying https://t.co/iPOS51R0yD,@137638 We can help you with your Mail app. Which iOS version is this happening with? Let us know in DM. https://t.co/GDrqU22YpT
101274,Alguien sabe pxq le pasa esto a mi nuevo iPhone X @AppleSupport @138166 ese cuadro q?😤 https://t.co/XorCuOdyUF,@138165 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
103174,@AppleSupport @115858 why does my battery drain so fast now on iOS 11.1.2 I lose 10% in an hour or less and I don’t even use the phone. Im at 26% now https://t.co/5TKNP5nu2r,@138697 We know how vital the battery is and we'll help. Are you using the Apple Lightning to USB cable and power adapter to charge your iPhone? You can DM us your answer. https://t.co/GDrqU22YpT
105342,"@AppleSupport pairing an apple watch is the most frustrating thing in the world, i feel like breaking the damn phone and watch. Taken 3 hours already and the stupid piece of crap still not working #hatethisdamnshit","@139263 You’ve come to the right place. We’re happy to help get you iPhone and Apple Watch paired. Send us a DM telling us which Apple Watch model you have, the iPhone we’re working with, and the iOS version number on the iPhone. https://t.co/GDrqU22YpT"
105435,@AppleSupport It’s usually a site trying to process a payment. I’m on High Sierra.,@139291 Have you tried to clear your Safari history yet? Our website here explains how: https://t.co/SQ4Lne7fmo
110869,@AppleSupport I’m on the latest version,@140657 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT
112889,@AppleSupport I don't have access to the security questions or emails so I'm too scared to update my phone but it keeps dying on 100%? Help? https://t.co/k7k2qcxDW0,@136622 Hey there! We’d be happy to help. Send us a DM so we can look into it together: https://t.co/GDrqU22YpT
118084,"@115858 your phones suck now, literally cannot type any sort of long message without the app crashing and my text being deleted.",@142183 We'll do all we can to assist. Is this happening with the native Messages app or with a different texting app?
119453,@AppleSupport @142503 I’ve experienced the same thing. It just dawned on me that my iPhone 8 Plus didn’t come with the headphone adapter also. I’ve been using my Bluetooth headphones since I got it and didn’t care to check by box until now. Then I searched twitter to see if I was the only one.,"@142503 We do want you to be able to use the EarPods that come with your iPhone 8, and we've included the Lightning to 3.5 mm Headphone Jack Adapter. Take a look in the box to be sure you haven't overlooked it."
120678,QUÉ HAGO PARA RECUPERAR ESTA NOTA DE VOZ??? @AppleSupport @115858 https://t.co/raF7lwp4IE,@142831 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
123090,"@AppleSupport Yes. The same email accounts are on my Mac, iPad, and 6S Plus",@143490 Your mail should sync automatically. Are you experiencing anything different with your devices?
123099,"@AppleSupport I got a new iPhone X and did a restore of backup from previous iPhone.

Text replacements did not come with the restore and have not synced to new iPhone X.

Is there a way get them to sync? (I have them on iPad and iMac)",@143491 Congratulations on your new iPhone X! We'd be happy to help. Did you restore using iCloud or iTunes? Are you signed in with the same Apple ID on all devices?
124421,Thanks apple for your latest updates I can’t open my music app @AppleSupport @115948,"@143868 Hi there. Let's get your music flowing through again. Try the steps in this article to see if they help: https://t.co/3WF5Z1DBGa

Still having issues? Shoot us a DM here: https://t.co/GDrqU22YpT"
125783,@AppleSupport see last tweey https://t.co/hlKWMe5wAh,@144223 Hello. Follow these tips to use Siri on your Apple Watch: https://t.co/L0xH9gXYAj Feel free to reach out if you have additional questions. Enjoy!
127635,"Looking at my tweets and @AppleSupport y’all need to fix this glitch, this letter “i” is getting old... damn shit so irking!!!","@144680 Great news! iOS 11.1.2 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"
148234,@AppleSupport I keep having to retype my WiFi password like 5 times a day??? It should just be saved no? I’m confused as to why it keeps disconnecting,"@149725 Hey there. Let's figure out what's happening with that connection. Does the issue happen with one particular Wi-Fi connection, or others as well?"
151418,"Ok, @AppleSupport, you're officially losing a customer. My iPhone 6s is useless since the ios update. Battery is dead within a couple hours. Why does this happen every time you update ios? So sick of this. I now have a useless phone.",@126844 Let's work together on a solution to get your iPhone working properly again. Meet us in DM with your current iOS version to get started. https://t.co/GDrqU22YpT
154427,@AppleSupport nope this is all that it does! Safe mode won’t even work https://t.co/I7Xa0nWaQc,"@150963 Thanks for giving it a try and including the video of your results. Next, we'd like to have you disconnect any external devices, if you have any connected, then reset the System Management Controller: https://t.co/FYojVXHuwn"
154483,@AppleSupport can’t update 11.1.2 https://t.co/ofIATW0ShI,@151404 We're here for you. Check out this article for help with updating your device: https://t.co/Ui1yTnOCUz
155990,.@115858 @AppleSupport pls fix your software https://t.co/jbKrxoFPFo,@151811 Hello. Let's work together to correct that view for you. Thanks for reaching out. Please meet us in a DM and we'll check a few things together: https://t.co/GDrqU22YpT
157822,@AppleSupport  how do I get rid of this pop up on my iPhone X? https://t.co/oLtU23tpBy,@152264 We’d be glad to help with this. Can you confirm what action is being completed when you see this message?
170403,@115858 Niye alalım? Pili iphone 8 plus'tan daha az dayandığı için mi yoksa orantısız ekranı yüzünden bir sürü uygulamayı açarken çeşitli sıkıntılarla uğraşmak için mi? 6000 verip pilin % kaç kaldığını bile göremiyoruz.Maalesef bu sefer olmamış..İphone 7Plus'u olanlar aynen devam etmeli!,@155700 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
171783,UH @AppleSupport since your update y'a really lot of beug. My iPhone turns off at 15% of battery? What's that? 15% Rest assured me it's not the same as 0 or 1%? https://t.co/2BZLwBxX8P,@155689 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT
172926,My #iphonex has randomly rebooted three times in the past 24 hours while scrolling content. Feels like it has to do with scrolling / screen auto shutoff @AppleSupport,@156456 We want to help you out. Send us a DM and let us know what version of iOS you are running. https://t.co/GDrqU22YpT
174978,"@AppleSupport why offer app ""controls"" in a managed account when apple apps mysteriously enable themselves when login back, such as safari? #unbelievable","@157053 Thanks for contacting us, we're here for you and your parental controls issue. To get started, what Mac computer are you using and which macOS version is it running?

How to find the macOS version: https://t.co/aTSJR8BjEc"
177012,These @115858 glitches are out of control. Pls roll out an #update for #this https://t.co/lj9MUOmvTT,@157659 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT
177034,In love with my beautiful #iPhoneX 😍 just arrived today. It'd be perfect if it weren't for that grueling speaker crackling and rattling. @115858 @116333 pls tell me you guys are going to fix this.,@157664 We want to help. DM us and we'll work from there. https://t.co/GDrqU22YpT
178705,"@AppleSupport Please tell me why 1-800-MY-IPHONE isn't working. I keep getting a ""can't connect/disconnected"" message. I really need help.","@158112 You can contact us at 1-800-MY–APPLE (800–692–7753), 7 days a week from 7:00 a.m. to 11:00 p.m. Central time."
184379,"@AppleSupport Hi Team,
Experiencing a very bad support from Apple with the Case ID: 100339120750, It's already been 9 days with false timelines for closure of things and still there is no committed timeline for closure with resolution. Would request to please expedite the process",@159394 Thanks for reaching out to us here. We'd like to look into this with you. Let's meet in DM. https://t.co/GDrqU22YpT
188146,@115858 el iOS 11 hace muy lento al iPhone! Fix it!,@160147 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
199386,@115858 :Since I downloaded IOS11 on my iPhone 6 it has been really slow &amp; clunky. I wish I’d left well alone. Have others had these issues?,"@162999 We can help. Do you have iOS 11.0.2 installed yet? If not, follow the instructions here: https://t.co/80YRnjDFDk"
208189,@AppleSupport Ive updated to ios 11.0.2 but my car stereo still cant connect,"@165247 
We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT"
208211,"@AppleSupport So wish I hadn’t updated to iOS 11, everything taking ages to load, mail only partially loading. Solution? Quickly, please!",@165254 We want to help. Meet us in DM and we'll take a look at resolving this together. https://t.co/GDrqU22YpT
211229,"Dear @115858, how come my phone is NOT automatically fetching emails anymore? Your update from two nights ago ruined my push settings.",@166035 We'd like to help you find out together. Which model is it and what's the exact iOS 11 version installed? Tried any steps?
215317,@AppleSupport I get “xxx-xxx-xxxx is not registered with iMessage” when sending an SMS (green) to my son from my Mac. Works on my iPhone.,"@167157 Hi, let's check to see if everything's set up correctly. Use the ""SMS and MMS"" section of this article: https://t.co/jmMBILbFAw"
215384,@AppleSupport @318 yall ruined my podcast experience with ios11. My Bluetooth headset connects with music and doesn't let me pause,"@167178 Which Bluetooth headset are you using with iOS 11? Also, which device does this occur on? Let us know, we'd like to help."
216146,Hey @AppleSupport wanna tell me why the phone charger i got 6 months ago  with my new phone “isn’t a supported accessory” and wont work anymore?,@167387 We can help you get this sorted out. Can you tell us which iOS version you are using please?
228561,This may be the WORST experience I’ve had with @115858 in awhile. Phone randomly closing out. The damn “i” not fucking working. Like what the fuck?? AND you expect me to pay 1k for the 10 and y’all can’t even get the 8 TF together — i think TF NOT!,"@170495 We certainly want you to be able to enjoy your iPhone and we'll do all we can to help. To start, which iPhone do you have and have you updated to iOS 11.1.1 to help with the predictive text issue? If not, give that a try and let us know how it goes."
229177,"@AppleSupport after ios11 update my iPhone 6 hangs, has become slow, battery drains quickly..  what do I do .. the ph is still in warranty 😡",@170653 We've got some steps we can try to work through this. DM us so we can take a closer look. https://t.co/GDrqU22YpT
229225,"@AppleSupport Nope. Updated today, happened again tonight. Shut down my phone, turned it back on, and data was restored.","@170664 Okay, thanks. Let's get to DM to continue. https://t.co/GDrqU22YpT"
233958,"@115858 stop making my phone run like crap just bc you made a new model, I DONT HAVE $1K EVERY YEAR TO DROP ON U!! LET ME SIT HERE W/ MY 6S!",@171705 We'd love to help with any issues you're having. Let us know what's going on. We'll get to the bottom of it together.
234416,the new iOS 11 SUCKS !!! battery lost quickly and heats up my phone 💆🏻🖕🏼 #ios11update @115858,@171811 We are here to help. DM us which iOS device you are using and we can take a look at this for you.
235048,Hey @115858 get your shit together all my apps are crashing cause of these updates 🙃🙃🙃🙃,@171977 We're here for you and happy to help. Which device are you experiencing this with? Are you seeing any error messages?
235836,"@AppleSupport why iOS 11.0.2 automatically download when connected to WiFi? My setting is off. Why the size is different? 277,1MB to 1,61GB.",@172175 We'd like to take a look into this. Send us a DM to get started. https://t.co/GDrqU22YpT
235863,@AppleSupport Have restated several times. It’s not just one person but almost everyone in my address book.,"@172182 Thanks for letting us know. Let's check where your contacts are stored, go to Settings&gt;Contacts"
236807,@115858 @2310 new updates 11.0.1 is having battery issue.please fix it if possible @172394,@172394 Let's get you some help with your battery! We'd love to assist in DM. Join us here: https://t.co/GDrqU22YpT
238874,@AppleSupport  https://t.co/IvKwSdJubN,@172813 Perfect. Let's take a look at these steps for when Wi-Fi connections aren't connecting as expected: https://t.co/sXbhzfS2lM
240253,"@applesupport installed the newest iOS , causing major issues. Losing faith in Apple. Contacts are in my phone but disappear in texting!","@173060 We'd love to work together on this with you. When you mention that contacts are disappearing in texting, what do you mean exactly?"
240769,"Why is IOS 11 sooooo bad come on @115858 it’s freezes and keeps losing signal, need an update as soon as possible","@173190 Let's take a closer look at both issues, starting with your model and if iOS 11.0.3 is installed. Which signal is having an issue?"
241403,"@AppleSupport nice iOS keyboard update, but I still can’t access the diacritic over the ‘r’ in ‘Dvořák’, and there’s still no ‘≠’ either.",@173312 Thanks for reaching out. May we ask which language keyboard you currently have?
243032,Apple Podcast is not played continuously on #iOS11   Is there a solution to this problem? @AppleSupport,@173714 Let's see if we can keep your podcasts on. Are they skipping or pausing? Tell us exactly what is happening. We'll go from there.
244183,@115858 the newest updates has done something to 7+. Takes forever to charge 6+ hrs.,@173998 We'd be happy to look into this with you. Can you provide us the iOS version? Are you using the original power adapter?
244186,@115858 @AppleSupport Can you bundle the Watch Faces on a purchase of a Nike Sport Band?,"@173999 Hey, let's get you pointed in the right direction. Please send us a DM and we'll go from there. https://t.co/GDrqU22YpT"
244964,@115858 iOS 11 is killing the battery on my iPhones. 6s now having to be charged at least 3 times a day #iOS11 #ios11battery,@174165 Thanks for reaching out. DM the specific iOS version you are using currently so we can help out. https://t.co/GDrqU22YpT
245953,Great! Did the latest iOS update and now can’t hear any videos on any app! Not impressed @AppleSupport,"@174416 Let's check into this together. Which iPhone are you using? Also, do you hear other audio?"
246500,@applesupport it comes from appleid email address first clue,@174549 Thanks for reaching out. This article covers how to identity and report those types of communications: https://t.co/LNMCdqt6fD
247565,"@AppleSupport bottom left corner, my screen is discolored on my 8 plus, never dropped or banged it https://t.co/d7VoR7EdmA",@174821 Let's work together on this. Is this behavior occurring within apps like Safari or only appearing on your home screen?
248746,@AppleSupport I just got an email from this address: __email__ guessing not from y'all?,"@175094 Thanks for bringing this to our attention.  No, this is not from Apple.  Please refer to this article. https://t.co/LNMCdqt6fD"
249206,IOS 11 ruined my battery 🙃 @AppleSupport,@175205 We're here to help. Can you please tell us what issues you are experiencing with your battery?
250070,Forced to update to iOS 11.whatever the hell this is the other day. Why is each @115858 update worse than the last.,"@175415 If you're having any issues, we'd like to get to the bottom of them with you. DM us with details, so we may better assist. https://t.co/GDrqU22YpT"
255539,@AppleSupport I'd like to assist you but unfortunately I had already sold my soul to you in return for the Ipod Classic now it's goosed.,"@176767 We’d like to look into this further. Please reach out to us here: 
 https://t.co/SDIe7UiyJN"
259425,@AppleSupport hi I am not able to see the update on my Mac from MacOS Sierra to high Sierra,@177692 You've come to the right place. Are you able to search for High Sierra in the App Store?
260021,@AppleSupport @177859 Why DM when this is an issue with all users? It’s practically trending on twitter,@177859 We'd like to look into this with you. Have you seen these steps? https://t.co/bivpdfkckw
261340,@AppleSupport how do I reinstall my MacBook?,@178226 We'd like to see how we can help. Can you tell us more about what you're looking to do?
261783,iOS 11 battery usage is horrible. I’ve had no apps open and my phone still like 80%. Since this morning. Wtf you doing ? @115858,@178339 We'd like to see what we can do to assist. Are you running iOS 11.0.2? We released it earlier this week.
262588,@AppleSupport I shouldn’t have to turn my phone on and off every time it freezes because of this update iOS 11.0.2! Freezing every second 😤,@178552 We want to make sure you enjoy using your iPhone. We're happy to help. Does this issue happen when you use specific apps?
265049,@AppleSupport I can’t even make a phone call ever since I got iOS 11,@179142 We'd love to help. Which iOS 11 version are you running?
266910,Hey @115858 your iPhone software update wiped all my contacts,@179609 Hi there. We'd like to help. DM us and we'll do what we can to get your contacts back. https://t.co/GDrqU22YpT
271278,@AppleSupport How do I quit the High Sierra installer when it won't boot up so I can quit. https://t.co/oRioUTDkqP,@180724 Help is here. Let's move to DM and get to work on this together. https://t.co/GDrqU22YpT
272209,So why has shit like this been happening since the update @115858? and don’t get me started with my battery life now. #FixThisShit https://t.co/axJytPkag0,"@180966 Thanks for reaching out! So we can provide you with the best steps, DM us more information on what you're experiencing. https://t.co/GDrqU22YpT"
274943,Can I suggest to @AppleSupport that an option be added for the iPhone X to have battery % displayed up top instead of an icon?,@181685 You can submit that feedback to us directly by using this link  https://t.co/eTPVYVFyd8
283586,@AppleSupport why volume pop up still in iOS 11 ?,"@183554 Hi, can you tell us more about what you're referring to? We'll be happy to look it with you."
284436,"@AppleSupport ever since I got iOS 11 on my iPhone 6 there is one group chat I can’t send any texts in, I can only see what they say. Help!","@183746 We'll be happy to help out. To clarify, are you on the latest version of iOS 11, 11.0.2? Also, which device do you have?"
284443,@AppleSupport Do you guys know if the in-app purchase service is down? I haven’t been able to buy anything in-app for a few days now.,@183747 We can certainly look into this with you. Is it only happening with one app? Which device are you using?
284461,I just charged my phone and its now at 61% what the fuck @115858,@183752 We know how important it is to have a reliable battery. Are you using the charger that came with the device?
284946,@115858 IOS 11 has been the worst update yet. Woke up with 100% battery and within twenty minutes it dropped to 80% on iPhone 7,@183887 Let's help with your battery! Which iOS 11 version is installed under Settngs &gt; General &gt; About. When did this first start?
286909,"@AppleSupport Is there a list of all apps that are allowed to record my screen like Uber? I want to delete all of them.

@115858",@184365 Thanks for reaching out. While we don't have a list of apps is there something we can help with?
287469,@AppleSupport how can I allow explicit content in Music permanently? My Apply Music playlist keep missing songs. iOS11 on iPhone SE.,@184508 Great question! We've got an article for you that talks more about managing explicit content: https://t.co/4VkTMVgZum
287484,"Exagerado la batería q consume el iPhone 7 con la nueva a actualización iOS 11, para nada recomendable 😒@AppleSupport @115858",@184512 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
288341,@AppleSupport my right AirPod won’t charge. I’ve had them for a few months. What do I do?,@154292 Thanks for reaching out. Can you tell us a little more about this? Are you getting a light when charging?
289100,"@115858 @AppleSupport à quand une mise à jour pour corriger les dizaines de bugs sur le nouvel IOS ?? Tel qui se bloque, appels sans son...",@184886 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
289965,"I should not have a problem texting another phone, @115858! No matter what the phone is! Your basic technology is crap! #FixIt #Tired",@185072 What's happening when you try to text people? We want to help you out!
290204,Pssst @AppleSupport  @115858  just wondering when you guys were going to fix the bug that makes the clock on the lock screen disappear? I've got an iphone 7 and the lastest iOS and subsequent updates and it is still happening. It's ANNOYING &amp; I'm tired of resetting my phone,@185132 Let’s take a look at this together. Which exact iOS version are you running? Let us know in DM. We’ll work with you there. https://t.co/GDrqU22YpT
294936,"@115858 I just had  manipulated by your call center platform. Somehow,  you got my permission to use my data which I never wanted!!! +",@186238 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT
295916,@AppleSupport wtf your support person via app told me to sign out of my Apple ID then back in and now my library won’t load,@186472 We'd like to assist. Could you send us a DM so we can get some more information? https://t.co/GDrqU22YpT
296447,@AppleSupport @115858 Issue is sorted after updating the latest update. New issue after latest update. Click Settings -&gt; Wifi is on for a fraction of a sec,@186602 We'd like to look into this with you. Send us a DM and we'll get started. https://t.co/GDrqU22YpT
298488,@AppleSupport When are you planning to fix the battery issue! 😤😡,@187121 We're happy to look into this for you. Can you please tell us which iOS version you are currently on?
299077,"Had a brand new iPhone for a WEEK, I just opened a text and the home button has just decided to die for absolutely no reason. @AppleSupport",@187287 That's not the experience we want you to have. We want to see how we can help. Have you tried restarting the phone?
300581,"Dear @AppleSupport, will the iOs11 remain slow and cause freezing forever on the iphone6? because this is annoying.. this is clients abuse https://t.co/TsiQfUii7a",@187663 We'd like to help. Are you on iOS 11 or have you updated to iOS 11.0.2?
301092,Oh this is bullshit @115948 @AppleSupport https://t.co/IdDBgmcJh3,@187808 We're here to help! Check storage in Watch app &gt; Usage and follow this link for help removing Music: https://t.co/SUspBGnmr8
301553,@115858 #ios11 should be awarded as most buggy operating system ever released. Are you sure that this is not the beta build?,@187934 We can definitely help. Which version of iOS 11 are you running? You can find out by tapping Settings &gt; General &gt; About.
304050,"@AppleSupport iOS latest update makes iPhone 6 unstable, apps crash, phone freezes, battery dies quickly! Please address issues soon!","@188593 We’re here to look into this with you. To begin, which iOS 11 version are you using?"
