conversation_root_id,tweet_id,customer_text,intent,escalate_flag,notes
2704207,2704207,"@AppleSupport my phone has been acting up. The Bluetooth, brightness, WiFi keeps turning on and off. And my music randomly turned on at nite",connectivity,no,Bluetooth and WiFi repeatedly toggling on and off
1208035,1208035,@AppleSupport Why does it take 72 hours to change my cell phone number? How about supporting an international relocation? Unacceptable,account_security,yes,unacceptable 72hr wait for phone number change during relocation
910398,910398,@AppleSupport I am again having problems with the music app. I’ve uninstalled it and installed it again. It’s still not working,app_subscription,yes,already tried reinstalling music app and still not working
874288,874288,"@AppleSupport why offer app ""controls"" in a managed account when apple apps mysteriously enable themselves when login back, such as safari? #unbelievable",account_security,no,managed account controls and permissions resetting on login
2055627,2055627,"@AppleSupport is there a way to make the screen shots automatically save to my photos, instead of having it pop up in the corner?",software_bug,no,iOS screenshot preview behavior / save settings
1793544,1793544,"„danke für das tolle neue Update“ , mein Handy läuft seitdem viel besser, der Akku hält auch nur noch bedingt ein paar Stunden...",battery_hardware,no,German text: battery only lasts a few hours after update
904094,904094,"Messages on my iMac and my wife’s MB have randomly stopped working. No changes, just can’t send or receive anymore.",software_bug,no,iMessage / Messages app failing to send/receive across Mac devices
1588661,1588661,Apple. Fix this problem. I️ should be able to type an I️ without a bunch of symbols. Thanks.    @AppleSupport,software_bug,no,iOS 11 letter 'I' typing glitch
1375736,1375736,Anyone else with this #ios11 bug? I need a fix ASAP. System files taking up all freed up space under “other”.🤦🏾‍♀️ @AppleSupport @115858 (I have the latest update.) https://t.co/8sl7hL785t,software_bug,no,iOS 11 storage bug with system files taking up 'other' space
1272635,1272635,My headset jack doesn't work anymore wtf it was working perfectly fine just yesterday @115858  wth,battery_hardware,no,headphone jack hardware failure
887309,887309,@AppleSupport iOS 11 sucks! All kinds of issues with apps freezing up. Have to reset phone before calling. smh,software_bug,yes,has to repeatedly reset phone before calling due to app freezing
1841315,1841315,@AppleSupport waarom start mijn camera telkens op met Livefoto aan? Dat wil ik niet. Ik heb het uitgezet in de instellingen van de camera maar hij start toch met aan???,software_bug,yes,Dutch text: turned off Live Photos in settings but it still re-enables
1471370,1471370,My fucking phone just died at 10% percent and it’s been freezing up ever since the iOS11.1. I hate @115858 but y’all still won’t catch me with an Android,battery_hardware,no,battery died at 10% and freezing on iOS 11.1; primary issue is sudden shutdown
1405021,1405021,@applesupport it comes from appleid email address first clue,account_security,no,Apple ID phishing / email address verification
1691230,1691230,Who is turning my Bluetooth on every damn night because it’s not me?!!!! @115858 @AppleSupport THIS UPDATE SUCKS BALLS!!!!!!!!,connectivity,no,Bluetooth turning itself on automatically overnight
2970590,2970590,"me and my bro's iphone 6 fucked out the same way (resets itself on loop every 2mins) at exactly the same time (0000hrs 2.1.2018) after the update. It can't be a coincidence right @115858 ?? Fuck this, I want my Nokia 2280 back.",software_bug,no,iPhone 6 boot loop / restarting every 2 minutes after update (iOS 11 Dec 2 bug)
1022137,1022137,@AppleSupport My Macbook Air (v10.12.6) crashes with Mac equivalent of #BSOD whenever I get an incoming call on my iPhone. Any way to fix?,software_bug,no,MacBook kernel panic / crash on incoming iPhone call
1461947,1461947,My phone updated the other day now my battery dies fast as fuck... wtf @115858,battery_hardware,no,battery draining fast after update
1507421,1507421,"My iPhone is updated, yet I’m still seeing the question mark squares.... wtf why?! @115858",software_bug,yes,phone already updated yet question mark bug persists
1769438,1769438,Listen @115858 ... idk what is going on with this “I” being I️ but I AM GOING TO NEED YOU TO FIX IT IMMEDIATELY.,software_bug,no,iOS 11 'I' autocorrect bug
1652431,1652431,@115858 How is it that I can load Youtube videos faster than I can load my own videos in my library! Fix your shit,app_subscription,no,slow video loading in Photos library vs YouTube
1079361,1079361,This iOS update is killing meee @AppleSupport 😤😩😡,software_bug,no,general iOS update stability complaints
964720,964720,"Siri has been broken on my iPhone ever since I upgraded to ios11. I’ve tried everything in the @AppleSupport forum except for a clean install, any ideas? iPhone 7 Plus",software_bug,yes,tried everything in Apple Support forum except clean install
1399679,1399679,@115858 my phone has frozen abt 3 times in the last 10 mins when r y'all gonna fix this,software_bug,no,phone frozen 3 times in 10 minutes
1627918,1627918,@AppleSupport - my phone all of a sudden stopped automatically joining my house wifi. I am sitting here and I noticed that it was LTE. Why?,connectivity,no,iPhone stopped auto-joining home Wi-Fi network
1814631,1814631,Who do I complain to about this Mac Sierra OS update? My safari tabs don’t even have the site names anymore @AppleSupport 🤬 https://t.co/zWx6bzMHv4,software_bug,no,Safari tabs missing site names after macOS Sierra update
1631580,1631580,@AppleSupport my phone keeps auto correcting capital i to something else (see pic). iOS is completely up to date. Help? https://t.co/mhDdVvErye,software_bug,yes,iOS already completely up to date but letter 'I' bug persists
1174972,1174972,@AppleSupport Also in trouble with the Now playing app that remains on the watch even when I’m not playing music or watching a Netflix movie on my iPhone,app_subscription,no,Now Playing app stuck on Apple Watch
1048682,1048682,@AppleSupport Hi I think u should put a search bar on your emoji keyboard thx,software_bug,no,feature request for search bar on emoji keyboard
1870634,1870634,Is it just me or is iOS 11.1.1 on the iPhone X super glitchy?    •Notifications don’t disappear after reading.  •Swiping between apps causing battery to look empty. •My lock screen live wallpaper disappeared (screen went black).  Just saying @AppleSupport,software_bug,no,"multiple UI glitches on iOS 11.1.1 (notifications, lockscreen, battery display)"
1260840,1260840,"@AppleSupport Hi Team, Experiencing a very bad support from Apple with the Case ID: 100339120750, It's already been 9 days with false timelines for closure of things and still there is no committed timeline for closure with resolution. Would request to please expedite the process",account_security,yes,escalation: 9 days with Case ID 100339120750 with false timelines
1606990,1606990,"I've faced two annoying issues since macOS 10.13.1 update. An error in the installation and now ""An unknown error"" is driving me crazy, it's also loosing all my Keychain passwords... Come on @AppleSupport help us! https://t.co/tNOAIo51KZ",account_security,yes,"macOS update losing Keychain passwords, repeated errors driving crazy"
1191024,1191024,"Never updating my iPhone iOS again. Everything’s slow, many things don’t work. Only benefit is I don’t see alien emojis everywhere @115858",software_bug,no,sluggish performance after iOS update
1119565,1119565,@115858 el iOS 11 hace muy lento al iPhone! Fix it!,software_bug,no,Spanish text: iOS 11 khiến iPhone very slow
1478149,1478149,"Is anyone getting a question mark box symbol when they try to use ""I"" on their social media via their iPhone? @AppleSupport",software_bug,no,iOS 11 letter 'I' question mark symbol bug
1987595,1987595,@AppleSupport ummm I’m just trying to download a free app idk what y’all are on about.. https://t.co/zhMm7RldjV,app_subscription,no,App Store error downloading a free app
1480088,1480088,Ok @115858: what’s the deal with iCal spontaneously shutting down while I’m using it? It’s happening more frequently lately. Seems like an easy fix....?,app_subscription,no,iCal / Calendar app spontaneously crashing
1815180,1815180,@AppleSupport I can't sign into https://t.co/mnaWejo8dK from Google Chrome Version 62.0.3202.94 (Official Build) (64-bit) on a Windows 10 PC. HALP!,account_security,no,cannot sign in to icloud.com from Chrome on Windows
1547432,1547432,@115858 fix the damn I️ (i) button !,software_bug,no,iOS 11 'I' autocorrect bug
2082260,2082260,@AppleSupport I cant reset bcs  I cant enter to my mail,account_security,yes,locked out: cannot reset password because cannot access email
1542456,1542456,@115858 how long does it take to patch the I️ problem? You guys get millions everyday a hotfix should be ezpz,software_bug,no,complaint about delay releasing patch for 'I' problem
1858597,1858597,@115858 @AppleSupport this happens to my lock screen once a day at least. I hope 11.2 is going to fix this. No date/time and can’t swipe Down to see notifications or control center. Only up to unlock. https://t.co/40uZKNUpKF,software_bug,no,"lock screen freezing daily, swipe down not working"
1712411,1712411,"Sooo about this ""this accessory may not be supported"" message I've been getting over the last 2-3 days no matter which charger I use @AppleSupport",battery_hardware,yes,"tried multiple chargers over 2-3 days, all getting accessory unsupported"
1825592,1825592,@AppleSupport Yes updated,software_bug,no,generic follow-up confirming device was updated
1121175,1121175,@115858 #ios11 should be awarded as most buggy operating system ever released. Are you sure that this is not the beta build?,software_bug,no,general complaint about buggy iOS 11
1457193,1457193,"@AppleSupport hello, buy an iphone7 and the charger no longer works, it has a warranty? Thanks",battery_hardware,no,iPhone 7 charger no longer working / warranty inquiry
1741772,1741772,@AppleSupport I keep having to retype my WiFi password like 5 times a day??? It should just be saved no? I’m confused as to why it keeps disconnecting,connectivity,yes,retyping Wi-Fi password 5 times a day due to repeated disconnects
1007886,1007886,Only @115858 would send me to a verified Apple tech only for the tech to tell me he can’t do shit! My warranty expires in 5 days. Apple explain yourself,battery_hardware,yes,"escalation: verified Apple tech refused repair, warranty expires in 5 days"
1628173,1628173,I am connected to WiFi and NEVER am trying to stream music - only files saved to my actual phone. How do I stop this @AppleSupport ? https://t.co/KUpCJPn56Y,app_subscription,no,Apple Music attempting to stream instead of playing offline files
2190119,2190119,@AppleSupport Why doesn’t the weight field on the medical ID screen auto populate with new data from the Health app?,app_subscription,no,Health app Medical ID weight field sync issue
1532439,1532439,Ok imma need @115858 to get its shit all the way together. That “A ?” Thing is driving me completely insane already.,software_bug,no,iOS 11 'A [?]' letter bug
1033281,1033281,"My iPhone 6 is saying it's not connected to the internet. It's connected to my wifi network, which is up and working. @115858 this is 🚮",connectivity,no,iPhone connected to Wi-Fi but reporting no internet connection
1601614,1601614,@AppleSupport could you help me diagnose my iPhone battery?,battery_hardware,no,requesting iPhone battery health diagnostics
1538604,1538604,I️ I️ I️ I️ I️ I️ I️ I️ I️ why is this a thing? @AppleSupport,software_bug,no,iOS 11 'I' character bug rant
1048605,1048605,"@AppleSupport give us a way to go back to 10.3 IOS 11 has ruined my battery life, each update makes it worse! I’m blind, depend on my phone!",battery_hardware,yes,"escalation: accessibility issue (blind user depending on phone), battery destroyed by update"
1213076,1213076,".@AppleSupport Why has the batter life on my iPhone 7 been garbage, pls assist",battery_hardware,no,iPhone 7 battery life degraded
1345999,1345999,iOS 11 is so damn glitchy and annoying I HATE IT. @115858 fix yo shit.,software_bug,no,general iOS 11 glitchy complaint
